attacker_strategy,condition,detected,detection_rate,false_positive_rate,mean_collusive_endorsements_accepted,mean_fallout_broadcasts,mean_fraudulent_microtasks_accepted,mean_fraudulent_reputation_gain,mean_wash_trades_accepted,median_detected_lag_events,selection_rule,threshold,trials
honest_dilution,B2_signed_nopattern,40,1.0,0.0,2.5,5.75,0.25,1.0,1.75,17.0,lowest threshold with false_positive_rate <= 0.05,1,40
honest_dilution,C1_vukzero_accountability,40,1.0,0.0,2.375,4.0,0.5,1.125,1.5,2.5,lowest threshold with false_positive_rate <= 0.05,6,40
