attacker_strategy,condition,detected,detection_rate,false_positive_rate,mean_collusive_endorsements_accepted,mean_fallout_broadcasts,mean_fraudulent_microtasks_accepted,mean_fraudulent_reputation_gain,mean_wash_trades_accepted,median_detected_lag_events,selection_rule,threshold,trials
threshold_aware,B2_signed_nopattern,15,0.375,0.0,0.5,2.875,0.25,0.425,0.25,0.0,lowest threshold with false_positive_rate <= 0.05,1,40
threshold_aware,C1_vukzero_accountability,0,0.0,0.0,0.5,4.0,0.25,0.425,0.25,,lowest threshold with false_positive_rate <= 0.05,6,40
